Sales Dashboard
Last updated,January 25 2026 3:14:25 PM PST

Filter Selection
Date,Custom
Sales breakdown,Marketplace total
Fulfillment Channel,Both (Amazon and seller)

Sales Snapshot
Total Order Items,Units Ordered,Ordered Product Sales,Average units/order item,Average sales/order item
2025-12-16T00:00:00,"$0.00",0.0,"$0.00",0.0
2025-12-17T00:00:00,"$79.00",4.0,"$0.00",0.0
2025-12-18T00:00:00,"$0.00",0.0,"$0.00",0.0
2025-12-19T00:00:00,"$0.00",0.0,"$0.00",0.0
2025-12-20T00:00:00,"$0.00",0.0,"$0.00",0.0
2025-12-21T00:00:00,"$0.00",0.0,"$0.00",0.0
2025-12-22T00:00:00,"$0.00",0.0,"$0.00",0.0
2025-12-23T00:00:00,"$0.00",0.0,"$0.00",0.0
2025-12-24T00:00:00,"$0.00",0.0,"$0.00",0.0
2025-12-25T00:00:00,"$0.00",0.0,"$0.00",0.0
2025-12-26T00:00:00,"$0.00",0.0,"$0.00",0.0
2025-12-27T00:00:00,"$0.00",0.0,"$0.00",0.0
2025-12-28T00:00:00,"$0.00",0.0,"$0.00",0.0
2025-12-29T00:00:00,"$0.00",0.0,"$0.00",0.0
2025-12-30T00:00:00,"$0.00",0.0,"$0.00",0.0
2025-12-31T00:00:00,"$0.00",0.0,"$0.00",0.0
2026-01-01T00:00:00,"$0.00",0.0,"$0.00",0.0
2026-01-02T00:00:00,"$0.00",0.0,"$0.00",0.0
2026-01-03T00:00:00,"$0.00",0.0,"$0.00",0.0
2026-01-04T00:00:00,"$57.94",2.0,"$0.00",0.0
2026-01-05T00:00:00,"$0.00",0.0,"$0.00",0.0
2026-01-06T00:00:00,"$55.78",2.0,"$0.00",0.0
2026-01-07T00:00:00,"$0.00",0.0,"$0.00",0.0
2026-01-08T00:00:00,"$0.00",0.0,"$0.00",0.0
2026-01-09T00:00:00,"$0.00",0.0,"$0.00",0.0
2026-01-10T00:00:00,"$0.00",0.0,"$0.00",0.0
2026-01-11T00:00:00,"$27.89",1.0,"$0.00",0.0
2026-01-12T00:00:00,"$0.00",0.0,"$0.00",0.0
2026-01-13T00:00:00,"$0.00",0.0,"$0.00",0.0
2026-01-14T00:00:00,"$0.00",0.0,"$0.00",0.0
2026-01-15T00:00:00,"$0.00",0.0,"$0.00",0.0
2026-01-16T00:00:00,"$52.98",2.0,"$0.00",0.0
2026-01-17T00:00:00,"$52.98",2.0,"$0.00",0.0
2026-01-18T00:00:00,"$0.00",0.0,"$0.00",0.0
2026-01-19T00:00:00,"$26.25",1.0,"$0.00",0.0
2026-01-20T00:00:00,"$52.50",2.0,"$0.00",0.0
2026-01-21T00:00:00,"$0.00",0.0,"$0.00",0.0
2026-01-22T00:00:00,"$26.25",1.0,"$0.00",0.0
2026-01-23T00:00:00,"$103.80",4.0,"$0.00",0.0
2026-01-24T00:00:00,"$51.90",2.0,"$0.00",0.0
2026-01-25T00:00:00,"$25.95",1.0,"$0.00",0.0
Compare Sales - Table view
,Total Order Items,Units Ordered,Ordered Product Sales,Average units/order item,Average sales/order item
Selected date range,60,76,"$1,737.79",1.27,28.96
Same date range one year ago,0,0,"$0.00",0.0,0.0
% change from same date range one year ago,N/A,N/A,N/A,N/A,N/A
Selected date range through 1/25/26 3PM PST,60,76,"$1,737.79",1.27,28.96
Same date range one year ago through 1/25/25 3PM PST,0,0,"$0.00",0.0,0.0
