H10 Cerebro >>  ,,f,KW 3+ Relv,30187,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jungle Scout >>  ,,f,KW 3+ Relv,0,,,,,,,,,,,,Sellerise >>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cerebro,,,Already on Target List:,FALSE,,,,,,,,,,ZonGuru >>  ,,ZonGuru,,,Already on Target List:,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brand Analytics >>  ,,,,,,,,,,,,,,,,,,Opp Explorer >>  ,,,,,,,,,Search Query Report >>  ,,,,,,,,,,,,,,,,,,,,,Custom List >>  ,,,,,,,,,,,,,Magnet >>  ,,,,,,,,,,,,,,,,Jungle Scout,,,Already on Target List:,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"     [NEW]
<< Branded
     Metrics", ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,📊 Brand Analytics,,,,,,,,,,,,,,,,,,🔎 Opportunity Explorer,,,,,,,,,📣 Search Query Report,,,,"🛑 IMPORTANT: You currently have ""ASIN"" set for SQR mode on the ⚙️ tab which must match the file types you are importing",,,,,,,,,,,,,,,,Custom List,,,,,,,,,,,,,,🧲️ Magnet,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,Sellerise,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Add,Score,Keyword Phrase,Search Volume,B0DTDZFMY7,B0CNS2PBHX,B0CWC6F56X,B095JCB9B9,B0D8LYYW3W,B09ST7X7Z1,B08DHC29R6,B0D4RMJ8NB,B0D186Z1C8,B0CDZR9QD8,,,Add,Score,Keyword Phrase,Search Volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Add,,Search Term,SFR,#1 Clicked ASIN,#1 Product Title,#1 Click Share,#1 Conv Share,#2 Clicked ASIN,#2 Product Title,#2 Click Share,#2 Conv Share,#3 Clicked ASIN,#3 Product Title,#3 Click Share,#3 Conv Share,,,Add,Search Term,Search Volume(Past 360 days),Search Volume Growth(QoQ),Search Volume Growth(YoY),Click Share(Past 360 days),Search Conversion Rate(Past 360 days),,,Add,"Search
Query",Search Query Score,"Search
Query
Volume","Total
Impr
Count",ASIN Impr Count,ASIN Impr Share,Total Click Count,Click Rate,ASIN Click Count,ASIN Click Share,Total AtoC Count,"AtoC
Rate",ASIN AtoC Count,ASIN AtoC Share,Total Purchases,Purchase Rate,ASIN Purch Count,ASIN Purch Share,,Add,Keywords,,,,,,,,,,,,,Add,Keyword Phrase,Magnet IQ Score,Search Volume,Search Volume Trend,Sponsored ASINs,Competing Products,CPR,Organic,Smart Complete,Amazon Recommended,Title Density,,,Add,Score,Keyword Phrase,Search Volume,,,,,,,,,,,,,Add,Partition,Keyword,Search Rank,SR Trend,Clicks,Clicks Trend,Clicks 1st Pos.,Clicks 2nd Pos.,Clicks 3rd Pos.,Others Clicks,Sales,Sales Trend,Sales 1st Pos.,Sales 2nd Pos.,Sales 3rd Pos.,Others Sales,Avg. Daily Sales 1st Pos.,Avg. Daily Sales 2st Pos.,Avg. Daily Sales 3st Pos.,Conversion,Relevance,Top Competing Products,Market Availability,Market Trend,Brands,Categories,ASIN Avg Dly Sales,ASIN Avg Dly Clicks
,🔎,,8,glucobalance pro dihydroberberine,54,0,3,4,5,1,10,-,9,13,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔎,TRUE,graditude health dihydroberberine,29,1,20,1,5,1,100,1,100,1,100,1,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,🔎,,8,dihydroberine supplement,16,0,2,3,7,4,10,-,6,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔎,TRUE,elemnt,69,455,"12,147",62,0.51,151,33.19,0,0,44,9.67,0,0,25,5.49,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,🔎,,8,dihydroberine,14,0,2,9,3,7,17,-,1,10,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔎,TRUE,hydroberberine,48,433,"11,702",87,0.74,228,52.66,1,0.44,66,15.24,0,0,26,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,🔎,,9,dyhadroberberine,89,0,1,5,10,2,17,16,4,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔎,TRUE,dihydroberberine 200mg 90 count,53,14,310,17,5.48,13,92.86,2,15.38,1,7.14,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,🔎,,8,dihydroberberine 200mg,562,0,3,2,5,6,14,-,1,13,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔎,TRUE,diabetes supplements,64,"6,670","172,233",30,0.02,"3,176",47.62,1,0.03,793,11.89,0,0,252,3.78,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,🔎,,8,dihydroberberine (dhb),0,0,4,6,5,8,14,-,2,17,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔎,TRUE,dihydroberberine organic,84,132,"3,127",14,0.45,65,49.24,1,1.54,10,7.58,0,0,3,2.27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,🔎,,8,dihydroberberine 5x,26,0,5,8,4,10,11,-,12,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔎,TRUE,gratitude health dihydro berberine,65,49,"1,155",30,2.6,11,22.45,1,9.09,3,6.12,0,0,1,2.04,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,🔎,,9,super botanic berberine advanced dihydroberberine,92,0,1,14,2,11,3,22,12,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔎,TRUE,dihydroberberine,1,"22,455","600,821","4,491",0.75,"13,406",59.7,53,0.4,"4,147",18.47,8,0.19,"1,289",5.74,1,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,🔎,,9,dhydro berberine,0,0,1,9,12,2,16,23,3,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔎,TRUE,dihydroberberine glucovantage,92,80,"2,371",47,1.98,49,61.25,0,0,9,11.25,0,0,3,3.75,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,🔎,,9,hydro berberine,46,0,1,4,9,2,16,23,3,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔎,TRUE,gluco vantage dihydroberberine,56,133,"3,054",88,2.88,81,60.9,0,0,17,12.78,0,0,3,2.26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,🔎,,9,hydroberberine,405,0,1,7,8,4,17,20,2,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔎,TRUE,organic dihydroberberine 90 count,20,11,221,20,9.05,7,63.64,1,14.29,2,18.18,1,50,1,9.09,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,🔎,,9,super berberine dihydroberberine,43,0,3,11,1,10,2,27,14,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔎,TRUE,dihydroberberine 100-200 mg,76,9,477,18,3.77,13,144.44,1,7.69,2,22.22,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,🔎,,9,dhb berberine supplement,80,0,1,7,10,12,8,21,2,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔎,TRUE,super berine supplement,70,100,"2,505",60,2.4,70,70,0,0,21,21,0,0,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,🔎,,9,dihydroberberine vs berberine,0,0,2,9,7,6,11,21,4,17,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔎,TRUE,berberina,54,"24,074","536,729",51,0.01,"11,300",46.94,1,0.01,"3,585",14.89,0,0,524,2.18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,🔎,,9,best dihydroberberine supplement,210,0,2,7,10,3,11,26,1,16,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔎,TRUE,dihydroberberine weight loss supplement,62,82,"2,518",70,2.78,38,46.34,0,0,8,9.76,0,0,2,2.44,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,🔎,,8,dihydroberberine berberine,137,0,1,5,6,3,10,31,7,17,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔎,TRUE,nutrabetic berberine glucovantage,47,63,"1,675",58,3.46,31,49.21,2,6.45,2,3.17,0,0,2,3.17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,🔎,,9,dehydro berberine supplement,76,0,1,7,5,6,13,28,3,12,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔎,TRUE,dihydroberberine gda,97,8,365,8,2.19,7,87.5,1,14.29,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,🔎,,8,dihydroberberine weight loss,55,0,1,14,5,3,7,34,4,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔎,TRUE,fenugreek,34,"110,410","2,700,396",231,0.01,"58,016",52.55,0,0,"31,278",28.33,0,0,8724,7.9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,🔎,,9,di-hydro berberine,41,0,1,7,10,5,11,29,4,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔎,TRUE,chromium,42,"14,224","382,129",152,0.04,"8,107",57,0,0,"4,237",29.79,0,0,"1,559",10.96,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,🔎,,9,di hydro berberine supplement,0,0,1,6,9,5,16,30,2,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔎,TRUE,dihydroberberine ceylon cinnamon chromium,87,20,608,12,1.97,12,60,1,8.33,3,15,0,0,1,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,🔎,,9,dihydroberberine 1500mg,401,0,5,7,14,2,15,18,4,19,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔎,TRUE,di hydro berberine,19,106,"2,712",23,0.85,68,64.15,1,1.47,30,28.3,1,3.33,9,8.49,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,🔎,,9,dihydroberberine weight loss supplement,26,0,2,11,6,7,9,28,5,16,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔎,TRUE,berberine fenugreek supplement,22,26,760,15,1.97,25,96.15,1,4,11,42.31,1,9.09,1,3.85,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,🔎,,8,dihydroberberine supplements,0,0,1,6,9,4,10,31,3,19,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔎,TRUE,glucovantage,10,"1,417","43,444",332,0.76,823,58.08,5,0.61,146,10.3,1,0.68,54,3.81,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,🔎,,8,dihydroberberine powder,43,0,1,14,8,4,28,-,2,15,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔎,TRUE,berberine for weight loss,85,"1,593","52,105",50,0.1,581,36.47,0,0,161,10.11,0,0,58,3.64,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,🔎,,8,dihydroberberine complex,0,0,1,5,10,4,11,37,2,16,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔎,TRUE,best dihydroberberine,89,35,"1,373",11,0.8,17,48.57,1,5.88,4,11.43,0,0,2,5.71,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,🔎,,8,dihydroberberine pure,0,0,1,9,9,6,18,35,2,3,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔎,TRUE,berberine supplement,41,"261,122","6,208,935",80,0,"146,588",56.14,2,0,"56,913",21.8,0,0,"20,812",7.97,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,🔎,,9,berberine 5x - dihydroberberine 200mg,20,0,3,4,2,10,14,27,11,28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔎,TRUE,dihydroberberine ceylon cinnamon,74,27,994,19,1.91,19,70.37,1,5.26,3,11.11,0,0,1,3.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,🔎,,9,dihydroberberine supplements 500mg,85,0,3,7,11,5,18,20,6,22,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔎,TRUE,gratitude health dihydroberberine,12,755,"19,319",490,2.54,255,33.77,5,1.96,73,9.67,0,0,16,2.12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,🔎,,8,berberine dihydroberberine,358,0,1,10,7,4,15,37,5,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔎,TRUE,dihydroberberine 500mg,11,"1,799","53,706",231,0.43,"1,054",58.59,6,0.57,241,13.4,1,0.41,99,5.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,🔎,,9,500 mg dihydroberberine,0,0,6,5,12,7,18,25,4,17,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔎,TRUE,glucovantage dihydroberberine r alpha lipoic acid,99,9,189,8,4.23,6,66.67,1,16.67,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
